MSFT,IBM,SBUX,AAPL,GSPC,Date
26.596962,178.810474,26.376388,75.710442,1332.420044,2012-05-29
21.590559,148.339218,17.445193,42.680809,1287.140015,2011-06-22
25.918423,189.1673,26.746624,56.392227,1525.199951,2013-03-04
21.597802,114.40401,11.908441,35.749691,1125.069946,2010-09-15
26.854638,174.827764,22.780444,60.814961,1344.900024,2012-02-03
22.925553,165.387225,19.338665,52.576735,1237.900024,2011-11-02
36.406966,175.438873,34.86777,73.122703,1873.910034,2014-03-04
21.142115,123.446383,12.019432,39.075677,1165.319946,2010-10-11
24.792432,180.010975,26.306826,67.373341,1492.560059,2013-01-22
22.546546,159.659105,18.516843,52.523815,1151.060059,2011-09-28
38.191066,173.28017,35.782329,86.371801,1909.780029,2014-05-28
22.798743,146.520054,16.739638,44.727466,1333.51001,2011-04-07
26.758919,169.526808,24.838793,80.465255,1341.469971,2012-07-10
34.734209,172.638685,39.040798,70.962235,1791.530029,2013-11-18
21.579619,159.858519,19.254001,48.099755,1158.670044,2011-11-25
24.119682,87.876373,11.971369,16.12586,1506.339966,2007-06-27
51.271873,129.84371,57.681497,96.864389,1890.280029,2016-01-13
21.6575,106.058958,9.378259,25.040132,1065.47998,2009-10-08
41.770164,160.395969,47.377656,125.277689,2100.399902,2015-04-20
15.905881,81.719832,4.576884,12.809138,833.73999,2009-02-11
22.896414,106.111497,7.348671,23.389047,1292.199951,2008-08-22
22.201255,163.849112,19.650019,48.819458,1192.97998,2011-11-21
30.093643,175.393434,35.09833,66.597243,1694.160034,2013-08-13
26.673774,112.874366,11.680527,34.29441,1205.939941,2010-04-21
18.998102,74.132805,4.975471,13.21794,940.51001,2008-10-28
20.832592,112.698077,11.122253,33.02699,1071.689941,2010-08-20
27.896256,181.575692,22.910586,87.168389,1413.170044,2012-08-21
41.721493,158.919045,48.083828,124.894787,2104.419922,2015-03-23
23.531659,96.300662,12.66317,18.36435,1484.25,2007-09-14
16.651082,73.795615,4.453185,12.625243,913.179993,2008-12-16
24.481423,129.526156,15.154176,42.811786,1256.77002,2010-12-23
24.755788,91.563768,8.805576,17.694921,1395.420044,2008-02-01
23.853211,94.92782,12.31956,17.893368,1467.670044,2007-08-06
26.94787,180.903836,20.714333,82.362413,1394.22998,2012-08-06
30.835099,188.540392,29.7094,60.41037,1614.420044,2013-05-03
25.431029,111.45704,9.955524,26.058829,1108.859985,2009-12-01
35.411582,167.463363,39.123203,71.661421,1802.47998,2013-11-25
32.203842,171.893389,37.06488,67.836496,1698.060059,2013-10-15
51.629307,126.359305,58.290001,96.599998,1915.449951,2016-02-04
25.157698,185.931377,27.068351,63.766649,1517.930054,2013-02-08
21.440439,116.534228,11.746579,34.319545,1121.060059,2010-08-10
21.997402,77.422916,14.010121,11.85262,1386.949951,2007-03-16
28.104105,188.025461,27.752873,80.662375,1390.780029,2012-04-17
51.18,132.399994,58.459999,94.690002,1921.27002,2016-02-23
22.734085,175.197936,20.687208,51.476012,1261.01001,2011-12-07
20.594452,103.986174,9.030068,22.387547,1026.130005,2009-08-21
25.360233,177.690987,21.5814,84.241343,1433.819946,2012-10-22
45.863177,153.86264,40.533425,111.397206,2090.570068,2014-12-29
44.780633,152.904054,39.30335,103.906178,2020.579956,2015-01-05
26.515983,178.373586,21.488355,80.802612,1379.319946,2012-07-31
40.280807,148.928077,46.069017,121.340668,2053.399902,2015-03-13
26.111863,114.309469,11.482708,32.730642,1192.130005,2010-04-16
16.398432,87.336132,5.497759,15.818928,856.559998,2009-04-09
51.299999,132.029999,58.34,96.910004,1948.050049,2016-02-26
26.117438,113.190653,10.867236,26.507322,1118.02002,2009-12-22
28.484977,188.458475,24.387458,92.833818,1460.26001,2012-09-20
43.995445,140.817231,57.107863,108.524058,1923.819946,2015-10-01
26.265112,112.725607,12.204979,34.66749,1183.709961,2010-04-27
22.199469,95.941604,8.237475,16.539955,1330.630005,2008-02-29
51.82,133.080002,57.669998,96.040001,1917.780029,2016-02-19
22.534545,101.431479,6.853872,16.965955,1213.27002,2008-09-26
23.093022,164.535286,20.169881,52.294938,1229.099976,2011-11-09
26.447101,189.939242,22.477052,83.66736,1428.589966,2012-10-12
16.131656,85.249339,5.438199,15.652232,841.5,2009-04-14
24.616751,164.607516,22.214704,55.902717,1292.47998,2012-01-11
22.939066,129.117746,14.216135,41.89231,1213.540039,2010-11-11
37.307425,178.628841,35.714405,73.978858,1849.040039,2014-03-27
27.398031,90.128364,10.519044,23.84283,1469.02002,2007-11-28
34.320258,161.810741,33.43238,68.622506,1741.890015,2014-02-03
21.345335,105.703373,9.199583,24.415683,1065.48999,2009-09-17
53.630852,137.188682,61.876786,120.267398,2099.929932,2015-11-05
23.746462,170.412831,20.757925,51.441613,1257.810059,2011-11-15
20.906618,101.262933,9.204164,22.641561,1033.369995,2009-09-09
27.308601,90.237486,10.555697,24.381285,1469.719971,2007-11-29
42.714399,154.912998,46.533215,126.740569,2117.389893,2015-03-02
30.098516,189.387069,30.402218,61.214292,1633.699951,2013-05-10
23.13312,104.78604,8.164171,22.922033,1339.869995,2008-06-12
